Author,Word,TF_IDF_Score
Enos,faith,0.2944
Enos,thy,0.2676
Enos,enos,0.2639
Enos,heard,0.1672
Enos,would,0.1559
Enos,according,0.1559
Enos,lamanites,0.1559
Enos,soul,0.1178
Enos,continually,0.1039
Enos,brethren,0.1039
Enos,father,0.1039
Enos,nephites,0.1039
Enos,strugglings,0.1029
Enos,goats,0.1029
Enos,rest,0.1003
Enos,blessed,0.1003
Enos,thee,0.1003
Enos,voice,0.0883
Enos,records,0.0883
Enos,nothing,0.0883
Jacob,vineyard,0.5059
Jacob,branches,0.3152
Jacob,fruit,0.2844
Jacob,tree,0.2482
Jacob,may,0.1657
Jacob,natural,0.1595
Jacob,servant,0.1432
Jacob,good,0.138
Jacob,graft,0.1085
Jacob,much,0.0994
Jacob,roots,0.099
Jacob,christ,0.0957
Jacob,cast,0.0955
Jacob,jacob,0.0955
Jacob,trees,0.0935
Jacob,brethren,0.0909
Jacob,away,0.0909
Jacob,brought,0.0883
Jacob,time,0.0877
Jacob,nourished,0.0859
Jarom,face,0.217
Jarom,write,0.1915
Jarom,according,0.1915
Jarom,exceedingly,0.1915
Jarom,plates,0.1736
Jarom,lamanites,0.1532
Jarom,jarom,0.1517
Jarom,kept,0.1302
Jarom,much,0.1302
Jarom,faith,0.1302
Jarom,written,0.1302
Jarom,us,0.1149
Jarom,word,0.1149
Jarom,fathers,0.1149
Jarom,away,0.1149
Jarom,keep,0.1149
Jarom,manner,0.1149
Jarom,nephi,0.1149
Jarom,commandments,0.1149
Jarom,swept,0.1126
Mormon,lamanites,0.2036
Mormon,king,0.1786
Mormon,city,0.1567
Mormon,alma,0.1541
Mormon,say,0.1451
Mormon,year,0.1434
Mormon,among,0.1396
Mormon,would,0.1374
Mormon,might,0.1298
Mormon,words,0.1293
Mormon,one,0.118
Mormon,men,0.1163
Mormon,earth,0.1121
Mormon,man,0.1117
Mormon,us,0.1111
Mormon,brethren,0.1111
Mormon,may,0.1099
Mormon,nephites,0.1076
Mormon,according,0.1067
Mormon,began,0.1054
Moroni,jared,0.3804
Moroni,coriantumr,0.1955
Moroni,brother,0.177
Moroni,christ,0.1745
Moroni,faith,0.1558
Moroni,begat,0.1488
Moroni,may,0.1412
Moroni,father,0.1374
Moroni,son,0.1371
Moroni,shiz,0.1356
Moroni,men,0.1309
Moroni,sons,0.1272
Moroni,children,0.1251
Moroni,kingdom,0.1212
Moroni,shule,0.1137
Moroni,power,0.1101
Moroni,man,0.1101
Moroni,good,0.1085
Moroni,akish,0.1049
Moroni,would,0.1026
Nephi,thy,0.2209
Nephi,israel,0.163
Nephi,father,0.1612
Nephi,words,0.1584
Nephi,earth,0.1543
Nephi,men,0.153
Nephi,one,0.1497
Nephi,gentiles,0.1349
Nephi,children,0.134
Nephi,beheld,0.1309
Nephi,house,0.1282
Nephi,know,0.1275
Nephi,brethren,0.1153
Nephi,seed,0.1147
Nephi,thee,0.1123
Nephi,us,0.1087
Nephi,away,0.1078
Nephi,nephi,0.105
Nephi,saith,0.1006
Nephi,according,0.1003
Various,mormon,0.4116
Various,benjamin,0.3211
Various,mosiah,0.2548
Various,words,0.2431
Various,king,0.2385
Various,zarahemla,0.2156
Various,plates,0.21
Various,according,0.1389
Various,concerning,0.1312
Various,discovered,0.1147
Various,amaleki,0.1147
Various,hands,0.105
Various,wilderness,0.105
Various,somewhat,0.1044
Various,lamanites,0.0926
Various,record,0.0919
Various,may,0.0919
Various,chemish,0.0829
Various,time,0.081
Various,would,0.081
